Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3511473,0.6501914,-2.45987,-0.5743647,0.751009,-2.356148,-0.5488293,0.9728884,-2.208075,1
-0.3485864,0.6502818,-2.451325,-0.5685261,0.7572045,-2.346719,-0.5428892,0.9789549,-2.19847,1
-0.347572,0.6522195,-2.454211,-0.5623717,0.7681146,-2.348485,-0.5321308,0.9900058,-2.201318,1
-0.3472199,0.6524388,-2.450243,-0.5577031,0.7737529,-2.341946,-0.5203977,0.9953176,-2.195913,1
-0.3476525,0.655155,-2.447521,-0.5543332,0.7819901,-2.33823,-0.5133573,1.00443,-2.19453,1
-0.3460838,0.658147,-2.448039,-0.5488241,0.7904654,-2.337872,-0.5057817,1.013053,-2.195007,1
-0.3426507,0.6639371,-2.443428,-0.5421368,0.799283,-2.331021,-0.4977844,1.021281,-2.187641,1
-0.3426996,0.6650546,-2.44093,-0.5386917,0.8056369,-2.328804,-0.4934807,1.027968,-2.186209,1
-0.3405763,0.671188,-2.443919,-0.5292679,0.8199732,-2.329871,-0.4861054,1.044918,-2.190784,1
-0.3415146,0.6743691,-2.439519,-0.5245758,0.8293774,-2.324586,-0.4784268,1.054669,-2.187028,1
-0.3393754,0.6766149,-2.44102,-0.518288,0.8369148,-2.326815,-0.4722214,1.062794,-2.190196,1
-0.3380852,0.6793931,-2.440042,-0.5137882,0.8431968,-2.325825,-0.4667308,1.068912,-2.189272,1
-0.3390484,0.6803352,-2.443211,-0.509676,0.8481892,-2.327195,-0.4602537,1.074729,-2.192862,1
-0.337459,0.6819651,-2.438952,-0.503016,0.8530038,-2.320272,-0.4493251,1.080133,-2.188599,1
-0.3359938,0.6842342,-2.437103,-0.4959394,0.8597387,-2.317252,-0.4413599,1.088874,-2.189476,1
-0.3354204,0.6840304,-2.43237,-0.4895011,0.8639392,-2.311372,-0.4343223,1.094337,-2.186152,1
-0.3329192,0.6884755,-2.424654,-0.4761598,0.8754607,-2.301093,-0.4166135,1.10639,-2.178888,1
-0.3334473,0.6877474,-2.418664,-0.4707241,0.8770824,-2.291953,-0.4034121,1.10699,-2.171871,1
-0.3331273,0.6897597,-2.415193,-0.4664695,0.8791962,-2.284494,-0.3926281,1.108025,-2.166201,1
-0.3313222,0.6914464,-2.418058,-0.4611295,0.8825322,-2.286207,-0.3853226,1.111815,-2.170057,1
-0.3303945,0.6925023,-2.417228,-0.4565531,0.8863077,-2.285805,-0.3810956,1.116359,-2.170953,1
-0.3284045,0.6972312,-2.421266,-0.449898,0.8945104,-2.290619,-0.3772169,1.125988,-2.176848,1
-0.3273272,0.6981638,-2.417279,-0.4432406,0.8987101,-2.286536,-0.3718464,1.13148,-2.1746,1
-0.3250051,0.7000725,-2.413107,-0.4362576,0.9032634,-2.282398,-0.3642706,1.136313,-2.171429,1
-0.3223523,0.7028662,-2.407376,-0.4242001,0.9081801,-2.272388,-0.343391,1.139668,-2.16426,1
-0.3224449,0.7002721,-2.404052,-0.420003,0.90818,-2.269869,-0.3375274,1.140442,-2.1647,1
-0.3212481,0.7026324,-2.407806,-0.4141033,0.9135683,-2.275019,-0.3338265,1.147419,-2.171685,1
-0.319553,0.7041776,-2.410179,-0.4042895,0.9188662,-2.277978,-0.3288093,1.155196,-2.176691,1
-0.3194719,0.7051944,-2.409732,-0.4017711,0.9203054,-2.276681,-0.3270386,1.156835,-2.175306,1
-0.3167971,0.7079161,-2.406556,-0.3959929,0.9233622,-2.27217,-0.318918,1.159376,-2.171348,1
-0.3156379,0.7073785,-2.397302,-0.3871688,0.9225286,-2.258225,-0.3001465,1.156057,-2.159738,1
-0.3156379,0.7073785,-2.397302,-0.3871688,0.9225286,-2.258225,-0.3001465,1.156057,-2.159738,1
-0.3139702,0.7073229,-2.396804,-0.3824422,0.9234897,-2.257765,-0.2923612,1.156699,-2.161292,1
-0.3145098,0.7084869,-2.395596,-0.3807957,0.9250253,-2.256076,-0.2892324,1.158017,-2.160477,1
-0.3138899,0.7101952,-2.396087,-0.3772843,0.9280702,-2.257306,-0.286735,1.161915,-2.16283,1
-0.3106005,0.7119505,-2.396434,-0.371443,0.9314188,-2.259028,-0.2827282,1.166539,-2.165988,1
-0.3076623,0.7125351,-2.398086,-0.3658138,0.9331126,-2.261293,-0.2786756,1.169167,-2.169132,1
-0.3089566,0.7139347,-2.394348,-0.3656586,0.9356109,-2.258727,-0.280349,1.17241,-2.166766,1
-0.3072616,0.7163256,-2.394274,-0.3642579,0.9390539,-2.260513,-0.2817117,1.177056,-2.169137,1
-0.3073718,0.717171,-2.395333,-0.362415,0.9404145,-2.261613,-0.2797916,1.178511,-2.170554,1
-0.3021044,0.719438,-2.395337,-0.3581178,0.9422852,-2.261359,-0.2766324,1.180546,-2.169705,1
-0.3049032,0.7212615,-2.400885,-0.3597205,0.9440129,-2.266255,-0.2783782,1.182107,-2.174045,1
-0.3040739,0.7207548,-2.399004,-0.3569656,0.9438634,-2.264194,-0.2758043,1.182188,-2.172419,1
-0.2998345,0.7214458,-2.396625,-0.354526,0.9440079,-2.261631,-0.2743538,1.182608,-2.169701,1
-0.3042476,0.719393,-2.396981,-0.3561161,0.9432083,-2.262947,-0.2756862,1.181958,-2.171634,1
-0.3020386,0.7195014,-2.396827,-0.354959,0.942843,-2.262415,-0.2751386,1.181634,-2.170678,1
-0.3058307,0.7192357,-2.394166,-0.3574531,0.9422792,-2.258759,-0.2762959,1.180566,-2.166883,1
-0.3075657,0.7187598,-2.392441,-0.3591648,0.9418764,-2.257145,-0.2780212,1.18015,-2.165223,1
