Time,Right_Angle,Left_Angle
3.808846950531006,84.16199,80.07361
3.824352025985718,84.26013,80.14443
3.841953039169312,84.22235,80.135
3.857560873031616,83.68192,80.04915
3.875336885452271,83.6658,80.34801
3.891008138656616,83.63223,80.25616
3.908525943756104,83.80634,80.31918
3.924240827560425,83.62662,80.40763
3.941829919815063,83.69067,80.05578
3.957533121109009,83.60037,79.87495
3.975157022476196,83.35526,79.58106
3.990870952606201,83.10028,79.3139
4.008599996566772,83.06323,79.10734
4.025008916854858,82.96454,78.95549
4.041664838790894,82.65427,78.71066
4.057350873947144,82.32574,78.12563
4.074916124343872,82.49057,77.80158
4.09060001373291,82.89886,77.80525
4.108349084854126,83.76376,78.14389
4.124773025512695,83.73868,78.35674
4.141607999801636,83.50674,78.26534
4.157135963439941,83.75763,78.58539
4.17473292350769,83.96936,78.47786
4.190338850021362,84.42126,78.92506
4.208123922348022,84.77139,79.59673
4.224645853042603,85.39136,80.4679
4.24036693572998,86.04688,82.18792
4.257950067520142,87.15976,83.85153
4.274577856063843,88.34604,85.76275
4.291191816329956,90.1315,87.63629
4.307079076766968,91.44678,89.43118
4.3244788646698,93.05258,91.15579
4.341086149215698,94.64874,93.26865
4.356910943984985,96.20908,95.54886
4.374539136886597,97.42181,97.64114
4.391109943389893,98.60477,99.50005
4.407684087753296,99.99362,101.5544
4.425132036209106,102.7761,105.2849
4.439948797225952,102.7761,105.2849
4.457801103591919,104.7223,107.3719
4.47426700592041,106.0606,109.146
4.489982843399048,107.3746,111.4318
4.50765585899353,108.9651,113.3214
4.524227857589722,111.4108,115.0476
4.539819002151489,112.8998,117.0809
4.557543992996216,114.4259,119.3074
4.574055910110474,115.719,121.353
4.589769124984741,117.3324,122.5888
4.607406854629517,119.2645,123.979
4.624267816543579,120.4506,125.8002
4.640684843063354,120.5806,127.3133
4.656275987625122,120.9981,128.6132
4.673926115036011,121.3774,130.4798
4.689610004425049,121.765,132.5242
4.707475900650024,123.0253,134.0984
4.722783803939819,124.159,134.9467
4.740731954574585,124.6094,136.266
4.756119012832642,125.6642,136.9554
4.773802042007446,127.0683,138.2375
4.789354085922241,128.2023,138.818
4.807483911514282,128.8532,140.1153
4.823782920837402,130.2311,141.3052
4.840380907058716,130.7614,141.7585
4.8559889793396,131.4291,142.0377
4.873656034469604,132.1957,142.7255
4.889271020889282,133.2835,143.4745
4.907021999359131,134.0428,143.755
4.923910856246948,134.5881,144.468
4.939368963241577,135.3441,145.1026
4.957077980041504,135.7842,145.6014
4.973492860794067,136.1975,146.3134
4.989281892776489,136.5622,145.9729
5.007036924362183,136.9524,146.2894
5.023800134658813,136.9635,146.7544
5.03998589515686,136.1741,146.8374
5.055589914321899,136.1415,147.4385
5.073355913162231,135.8732,147.3622
5.088881969451904,136.1222,147.4423
5.106544017791748,136.1089,147.8668
5.123175859451294,136.1573,147.9311
5.139853000640869,136.4727,147.9031
5.155554056167603,136.6286,147.5618
5.173102140426636,136.8825,147.3756
5.188715934753418,136.1896,147.4211
5.206691026687622,135.9662,147.0938
5.222044944763184,135.7657,146.825
5.239690065383911,135.781,146.1304
5.256231069564819,136.359,146.1617
5.272925138473511,136.4413,145.8916
5.289533853530884,135.3047,145.4932
5.305321931838989,134.8652,145.2849
5.322824954986572,134.7802,145.5723
5.339493989944458,133.9145,145.7629
5.355154991149902,132.8813,145.1559
5.372691869735718,131.9278,143.8971
5.389374017715454,130.8021,143.0275
5.406183004379272,130.8692,142.4314
5.422719955444336,130.1264,141.6306
5.439418077468872,129.8408,140.0267
5.454936027526855,129.0723,138.2377
5.472563982009888,128.2109,137.1266
5.488255977630615,126.9763,135.9281
5.505843877792358,126.2102,135.4924
5.522816896438599,124.8192,134.2158
5.539337873458862,124.7494,132.6388
5.554755926132202,124.249,131.2036
5.572397947311401,123.5711,129.8316
5.589200019836426,122.3656,128.3696
5.605670928955078,121.4797,127.4727
5.622519016265869,120.913,126.2978
5.638893842697144,119.4034,125.0055
5.654525995254517,118.8958,123.4287
5.672292947769165,117.677,121.8617
5.687855005264282,116.4095,120.9238
5.705649137496948,115.5321,120.4515
5.722227811813354,115.0419,119.3895
5.737766027450562,114.4894,118.26
5.755784034729004,114.0248,117.272
5.772163152694702,112.7512,115.9434
5.788718938827515,111.9763,114.6639
5.804335832595825,111.2308,113.8605
5.821960926055908,110.2743,112.4627
5.838659048080444,109.5881,111.0815
5.854185819625854,108.8415,109.8847
5.871845006942749,108.2234,109.1531
5.888540029525757,107.8654,107.9516
5.905146837234497,106.4838,106.505
5.921751022338867,105.2039,105.1229
5.938488960266113,104.6099,104.3879
5.954064130783081,103.7249,103.2177
5.971699953079224,102.5105,101.7472
5.988472938537598,101.8277,100.7631
6.003947973251343,100.9207,99.74599
6.022243976593018,100.0163,99.15569
6.038211107254028,99.09775,98.00471
6.055332899093628,98.96454,97.36366
6.071633100509644,98.13101,96.49795
6.088135957717896,97.30313,95.84095
6.104022979736328,96.51337,95.1873
6.121439933776855,96.08261,94.83884
6.137925863265991,95.26343,94.08697
6.153712034225464,95.27377,93.26259
6.171416044235229,95.04285,93.04391
6.187076807022095,94.54303,92.25631
6.204633951187134,94.2869,91.5826
6.221342802047729,94.08823,90.62852
6.237936019897461,93.68588,89.81138
6.254523038864136,93.03433,88.82156
6.271157026290894,93.20132,88.43645
6.287940979003906,92.88947,87.90002
6.303374052047729,92.82309,87.74176
6.321090936660767,92.82971,87.35512
6.337651968002319,91.87271,86.45588
6.354366064071655,92.05197,86.39187
6.370951890945435,91.62851,85.67188
6.387588977813721,91.5433,85.46198
6.404210805892944,-91.26952,85.34537
6.421232938766479,-90.95335,84.67829
6.437471151351929,-90.95285,84.63954
6.453186988830566,-90.55904,83.92744
6.47088098526001,-90.39544,83.45309
6.487360000610352,-90.3045,83.42287
6.504165887832642,-90.29925,83.26257
6.520797967910767,-90.45151,83.2552
6.537380933761597,-90.48582,83.29281
6.553071022033691,-90.44331,83.14257
6.570647954940796,-90.3507,83.19092
6.587294816970825,-90.31271,83.17911
6.604012012481689,-90.16371,83.38783
6.620588064193726,-90.26505,83.53779
6.637173891067505,-90.11485,83.55009
